													Column	Row	Lectin									
													6	19	NPA									
													7	19	GNA									
													8	19	GNA									
													9	19	GNA									
													10	19	Galectin 1									
													11	19	Galectin 2									
													12	19	Galectin 3									
													13	19	Galectin 3									
													14	19	Galectin 4									
													15	19	Galectin 5									
													1	20	PA-I 									
													2	20	PA-I 									
													3	20	PA-I 									
													4	20	Gaf D									
													5	20	Gaf D									
													6	20	Gaf D									
													7	20	PA-IL									
													8	20	PA-IL									
													9	20	PA-IL									
													10	20	PA-IIL S22A									
													11	20	PA-IIL S22A									
													12	20	PA-IIL S22A									
													13	20	RSIIL A22S									
													14	20	RSIIL A22S									
													15	20	RSIIL A22S									
													1	21	Joao's									
													2	21	Joao's									
													3	21	Joao's									
													4	21	Anti-Blood Group Lewis y antibody [F3]									
													5	21	Anti-Blood Group Lewis y antibody [F3]									
													6	21	Anti-Blood Group Lewis y antibody [F3]									
													7	21	Anti-Blood Group Lewis a antibody [T174] 									
													8	21	Anti-Blood Group Lewis a antibody [T174] 									
													9	21	Anti-Blood Group Lewis a antibody [T174] 									
													10	21	Anti-CA19-9 antibody [121SLE]									
													11	21	Anti-CA19-9 antibody [121SLE]									
													12	21	Anti-CA19-9 antibody [121SLE]									
													13	21	Anti-Blood Group B Antigen antibody [Z5H-2] 									
													14	21	Anti-Blood Group B Antigen antibody [Z5H-2] 									
													15	21	Anti-Blood Group B Antigen antibody [Z5H-2] 									
													1	22	Anti-Sialyl Tn antibody [BRIC111] 									
													2	22	Anti-Sialyl Tn antibody [BRIC111] 									
													3	22	Anti-Sialyl Tn antibody [BRIC111] 									
													4	22	Anti-Sialyl Lewis x Mouse mAb (KM93)									
													5	22	Anti-Sialyl Lewis x Mouse mAb (KM93)									
													6	22	Anti-Sialyl Lewis x Mouse mAb (KM93)									
													7	22	Forssman Antigen Antibody (M1/87.27.7.HLK)									
													8	22	Forssman Antigen Antibody (M1/87.27.7.HLK)									
													9	22	Forssman Antigen Antibody (M1/87.27.7.HLK)									
													10	22	7 LE lewis A									
													11	22	8 LE lewis A									
													12	22	9 LE lewis A									
													13	22	2-25 LE lewis B									
													14	22	2-25 LE lewis B									
													15	22	2-25 LE lewis B									
													1	23	SPM 10 Sialyl Lewis A									
													2	23	SPM 10 Sialyl Lewis A									
													3	23	SPM 10 Sialyl Lewis A									
													4	23	Le X P12 SCBT									
													5	23	Le X P12 SCBT									
													6	23	Le X P12 SCBT									
													7	23	Le X R and D									
													8	23	Le X R and D									
													9	23	Le X R and D									
													10	23	Lewis Y									
													11	23	Lewis Y									
													12	23	Lewis Y									
													13	23	Extra spot									
													14	23	Extra spot									
													15	23	Extra spot									
