"Lectin"	"SA1"	"SA10"	"SA11"	"SA12"	"SA13"	"SA14"	"SA15"	"SA16"	"SA17"	"SA18"	"SA19"	"SA2"	"SA3"	"SA4"	"SA5"	"SA6"	"SA7"	"SA8"	"SA9"
"7 LE lewis A"	0.58356956425736	0.699801757853241	0.886569621307032	0.707165359521198	0.898479945418286	0.814293286481751	0.378164302322713	1.56510262527068	0.685049052627985	0.799747777121755	0.59007740478866	0.473995618235147	0.624102726538496	1.94847519481534	0.521459285241541	1.03986659119412	0.587323670678868	0.401042289143076	0.122436540765738
"AAA "	0.815914374850367	0.449684262828749	0.728199169695502	0.444981772984894	0.854014083406916	0.477506921710301	1.05774824854931	0.293260716607557	0.243056092857548	0.528030501372273	0.636239557004483	0.829663515329697	0.716534108367156	0.497213182974487	0.750100594616873	1.11059247237596	0.671214412428085	0.946420112193202	0.689054592521305
"AAL"	0.629160083755028	0.0483980119100895	0.252361755387209	0.85142324896834	0.55621219552201	0.621300475866892	0.952305820886451	0.4351970826064	0.701783394348524	-0.0628528634039984	-0.00686841266119664	3.25514253993887	0.507754470077355	0.287290606189492	0.754337172127101	0.348479330442961	1.04117018635707	0.475825610276837	0.513564316250381
"ACA"	0.360319061244992	0.676162331535906	0.587552303868156	0.609085274885853	0.797178993131116	0.315853220519186	1.27568099999069	0.808826229656301	0.533453314980523	1.03378347696779	0.874996279834351	0.798218448589145	0.865241209047669	0.374604855187995	0.667826038095859	0.993044177650283	0.649785282953541	0.737090408200988	0.665293106996462
"AMA new"	0.0388582499327033	-0.126286514492479	0.416653226413837	0.0886017776529906	0.152237839449116	0.319079660085889	0.419451855320131	0.40302459806461	0.155290869818829	0.309072482179763	0.307826846340248	0.26118778488186	0.239911323950494	-0.0860977823636606	-0.0562817201218468	0.138084338194997	0.0148728566396299	-0.0876156848398288	0.181580117034375
"AOL"	0.530975680316466	-0.345810992620585	0.278779681996294	1.05043874255874	0.910624137406499	0.804855528260118	0.864343973158221	0.388800598454521	1.02803299864786	-0.338308729769784	-0.182825746514983	4.10789352948769	0.510141996201188	-0.105065273768778	0.525767530117497	-0.0231988623544979	1.03955366255218	0.239413782653537	0.168855122818291
"APA old"	0.966218421998471	0.0838376811653809	0.114059797987185	-3.13503667373721	-0.678109328544319	0.602483076997874	0.599247100786505	-0.823328587396463	0.282538224671164	-0.965326676126658	-4.39557204494084	1.65337994984599	0.549855496647551	-0.296172006213034	-5.47938864908919	0.347094258660071	0.283832177714304	-0.217155183789201	0.517206123607023
"APP"	0.162986141052928	0.168273542151882	0.235009729959561	0.47586167779548	0.696244484211068	0.398743853599136	0.530029658937758	0.40412514942903	0.666597496454832	0.702565246032421	0.72703744830028	0.125530821903537	0.455210042254807	0.098787902085574	0.172146079907767	0.340899064433382	0.318845333749001	0.297175363091233	0.137935130180182
"ASA"	-0.305547015030283	-0.295849892465281	0.268211342807204	-0.594020598115319	-0.227618141956869	-0.114315589177508	-0.508136434518068	-0.399473682971266	3.1570073360296	0.532172974857717	5.15517475486936	-0.674645855911963	-0.286528348506344	-0.592976422781433	-0.500028415148224	-0.319659861004185	-0.247543647063479	-0.298947248778404	-0.363078339615562
"BDA  new"	-0.155555484723928	-0.230647430982873	-0.263639044855983	-0.139837660240683	0.571050022426432	-0.278488339433513	0.630902439640087	0.550927574130878	-0.0853591872448867	0.28831087829877	0.424222513836765	-0.21016373383145	0.19034576133471	-0.183366800327804	0.15056193900964	0.529567575283378	-0.0653449752257114	0.00614632211003396	0.0828116814554338
"Blackbean"	0.581532003182572	0.415362109311932	0.580937113260601	0.290241402636212	0.460395653661728	-0.585978720474305	0.185064734625513	-0.0157517743439328	0.0696608269529904	-0.255639778125712	-0.451870041420559	0.0654856986934096	0.496461160095366	0.343766250270143	0.325742750759629	0.563677928326676	0.373488144414095	0.709185834202222	0.526848566294879
"BPA"	0.406480458854864	0.247396030256569	0.330419125168966	0.138315255191564	0.138873712474975	-0.0751963114368177	0.081474126596877	-0.053946905803075	0.360298124203878	-0.0307381776168363	-0.0235477072410397	0.36042293398107	0.385156325929234	0.243631724780036	0.335179395212533	0.48775212744321	0.352276501096165	0.205492012374737	0.464693880220015
"CA"	-0.249410167870202	-0.686490702717398	-0.139987380224229	-0.301183039325357	-0.172674004155773	-0.243697976419433	-0.526599850006699	-0.31679031000151	-0.190523608435001	-0.419229617427831	-0.467872972625463	-0.233507116179041	-0.556940846831875	-0.6372089240481	-0.223241390408253	-0.360331010846565	-0.195753442489135	-0.787831362948523	-0.26374548298017
"CAA"	-0.350345348413507	-0.19702714289053	-0.204996768492546	0.107224279670744	-0.38698576910951	-0.34390864737745	-0.532466627100202	-0.433283639607486	-0.213964491949104	-0.570679002237254	-0.50506966519521	-0.353545254588287	-0.633739127477513	-0.595982595254171	-0.280976531561356	-0.389518126705996	-0.231178500916222	-0.571293192986458	-0.380101006018721
"Calsepa new"	-0.657740910271077	-0.723848552281357	0.358472513020827	-0.536578496647152	0.0719544383772543	0.0489988076952592	-0.721500737387187	-0.464862381121815	-0.416029888911938	-0.662241696695379	-0.70934088905204	-0.00927479623672944	-0.881308666904326	-0.892387636444534	-0.585884607095579	-0.622186076746466	-0.638531019590411	-1.13838970732085	-0.683314577037915
