ATF	1.0 
30	57     
"Type=GenePix Export 3" 
"DateTime=2014/03/28 12:10:34" 
"Settings=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_setting.gps" 
"GalFile=" 
"PixelSize=5" 
"Wavelengths=532	635" 
"ImageFiles=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 2	C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 3" 
"NormalizationMethod=None" 
"NormalizationFactors=1	1" 
"JpegImage=" 
"StdDev=Type 1" 
"RatioFormulations=W1/W2 (532/635)" 
"FeatureType=Circular" 
"Barcode=" 
"BackgroundSubtraction=LocalFeature" 
"ImageOrigin=0, 0" 
"JpegOrigin=715, 1395" 
"Creator=GenePix Pro 7.2.29.002" 
"Scanner=GenePix 4300 [122871]" 
"FocusPosition=0" 
"Temperature=0" 
"LinesAveraged=1" 
"Comment=" 
"PMTGain=425	570" 
"ScanPower=70	90" 
"LaserPower=2.11	1.69" 
"Filters=Standard Green	Standard Red" 
"ScanRegion=0,0,4400,14400" 
"ScanArea=1" 
"Supplier=" 
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"F532 CV"	"F635 CV"	"B532 CV"	"B635 CV"	"Index" 
4	5	21	""	""	2015	16160	150	354	355	56	417	785	417	853	0	0	0	71	78	47	98	208	98	357	0	0	0	2.333	3.100	1.667	1.671	3.361	3.203	0.227	716	4830	100	-75	0	0	-90	-82	1.222	-63	-27	-62	-20	253991	56055	-0.504	-0.364	15	60	108	171	1385
4	6	21	""	""	2345	16115	150	365	440	1436	413	1037	413	1269	0	0	0	77	181	2184	103	325	103	705	1	1	0	1.846	0.346	1.833	1.655	3.633	0.803	0.731	716	4627	100	-75	0	0	-74	105	0.885	-48	-26	27	78	315140	129903	-0.470	-0.204	326	1206	122	216	1386
4	7	21	""	""	2615	16110	150	333	334	51	370	496	370	395	0	0	0	67	79	75	85	114	85	121	1	0	0	2.056	6.000	1.432	1.340	3.225	4.608	0.027	716	4764	100	-75	0	0	-55	-42	1.040	-37	-18	-36	-6	239086	56301	-0.410	-0.289	15	94	79	106	1387
4	8	21	""	""	2885	16110	150	349	376	161	353	365	353	92	15	5	0	66	78	63	74	84	74	49	13	4	0	0.500	5.750	1.762	1.743	4.292	12.057	0.018	716	4937	100	-75	0	0	-12	27	-1.000	-4	-8	23	4	269459	56127	0.120	-0.122	42	80	25	58	1388
4	9	21	""	""	3155	16110	150	337	340	60	346	354	346	76	10	1	0	63	72	42	72	83	72	75	6	1	0	1.000	100000.000	1.474	1.395	3.816	2.359	0.024	716	4920	100	-75	0	0	-18	-6	0.000	-9	-9	-6	0	243504	51809	-0.184	-0.147	17	58	21	90	1389
4	10	21	""	""	3425	16105	150	359	614	1862	341	356	341	156	18	11	0	95	416	2134	73	97	73	203	19	14	0	0.818	0.796	0.935	0.923	3.979	0.846	0.829	716	4902	100	-75	0	0	40	616	-0.290	18	22	273	343	439405	298044	1.654	1.571	303	512	43	209	1390
4	11	21	""	""	3695	16100	150	341	345	72	348	353	348	116	2	0	0	73	83	54	75	89	75	113	3	1	0	3.500	-0.375	1.200	1.189	3.867	1.004	0.731	716	4663	100	-75	0	0	-9	5	1.807	-7	-2	-3	8	246907	59456	-0.069	-0.053	20	65	32	126	1391
4	12	21	""	""	3935	16060	150	345	359	277	348	358	348	182	1	0	0	77	102	285	77	94	77	238	1	1	0	100000.000	0.440	1.191	1.123	4.419	0.967	0.691	716	4790	100	-75	0	0	-3	36	16.610	-3	0	11	25	257337	73343	0.005	0.034	77	279	50	253	1392
4	13	21	""	""	4235	16095	150	326	326	64	351	509	351	555	0	0	0	69	75	45	80	128	80	195	0	0	0	2.273	5.000	1.515	1.328	4.034	3.168	0.550	716	4386	100	-75	0	0	-36	-30	1.184	-25	-11	-25	-5	233731	53707	-0.330	-0.272	19	60	109	152	1393
4	14	21	""	""	4505	16095	150	326	327	50	342	533	342	611	0	0	0	67	74	40	77	134	77	217	0	0	0	1.600	5.000	1.228	1.225	3.967	3.154	0.750	716	4597	100	-75	0	0	-26	-18	0.678	-16	-10	-15	-3	234125	53266	-0.337	-0.276	15	54	114	161	1394
4	15	21	""	""	4775	16095	150	345	349	61	365	541	365	600	0	0	0	68	80	56	85	137	85	187	1	0	0	1.176	3.200	1.349	1.304	3.635	3.886	0.685	716	4780	100	-75	0	0	-37	-21	0.234	-20	-17	-16	-5	250013	57560	-0.320	-0.305	17	70	110	136	1395
4	1	22	""	""	1040	16410	150	377	398	97	410	970	410	1013	0	0	0	83	94	73	116	304	116	438	0	0	0	1.000	0.545	1.245	1.264	3.480	3.303	0.597	716	4981	100	-75	0	0	-66	-34	0.000	-33	-33	-12	-22	284767	67229	-0.565	-0.479	24	77	104	144	1396
4	2	22	""	""	1285	16375	150	953	1294	938	1144	1799	1144	1547	9	0	0	223	363	353	280	655	280	739	5	1	0	3.351	1.807	3.654	3.851	2.010	2.269	0.738	716	4557	100	-75	0	0	-248	233	1.745	-191	-57	150	83	926355	259601	-0.326	-0.395	72	97	85	112	1397
4	3	22	""	""	1555	16410	150	421	657	501	440	1379	440	1352	6	0	0	112	191	223	138	459	138	593	3	1	0	0.731	4.094	1.629	1.684	3.640	3.078	0.720	716	5130	100	-75	0	0	-45	270	-0.453	-19	-26	217	53	470727	137000	-0.534	-0.452	76	116	98	129	1398
4	4	22	""	""	1870	16405	150	374	381	85	383	537	383	1118	0	0	0	76	87	75	89	204	89	1672	0	0	0	0.692	1.000	1.200	1.160	4.074	0.550	0.433	716	5190	100	-75	0	0	-22	-4	-0.531	-9	-13	-2	-2	272682	62527	-0.140	-0.070	22	86	208	819	1399
4	5	22	""	""	2150	16385	150	355	359	73	355	358	355	64	15	2	0	69	77	46	71	82	71	121	2	0	0	0.000	0.667	1.613	1.552	3.743	4.189	0.029	716	5117	100	-75	0	0	-2	10	Error	0	-2	4	6	257206	55019	0.016	-0.041	20	59	17	147	1400
4	6	22	""	""	2430	16305	150	340	345	72	344	351	344	124	3	0	0	72	80	48	69	83	69	184	0	0	0	-1.333	0.091	1.333	1.488	4.196	0.610	0.715	716	4231	100	-75	0	0	-1	12	Error	-4	3	1	11	246986	57577	-0.048	-0.016	20	60	35	221	1401
4	7	22	""	""	2620	16400	150	347	366	197	347	350	347	80	9	2	0	73	100	256	69	80	69	84	9	2	0	0.000	0.613	1.585	1.487	4.672	0.745	0.473	716	4292	100	-75	0	0	4	50	Error	0	4	19	31	262179	71297	0.200	0.238	53	256	22	105	1402
4	8	22	""	""	2955	16400	150	355	364	72	363	370	363	86	10	2	0	71	79	46	73	84	73	86	5	1	0	4.000	0.167	1.625	1.561	4.249	18.771	0.001	716	4719	100	-75	0	0	-10	7	2.000	-8	-2	1	6	260381	56443	-0.070	-0.058	19	58	23	102	1403
4	9	22	""	""	3210	16390	150	341	350	63	352	357	352	66	14	3	0	71	80	48	71	81	71	71	9	2	0	100000.000	-0.222	1.500	1.614	3.809	0.134	0.004	716	4858	100	-75	0	0	-11	7	16.610	-11	0	-2	9	250393	57067	-0.106	-0.014	18	60	18	87	1404
4	10	22	""	""	3470	16375	150	344	347	59	343	352	343	92	7	1	0	69	80	50	70	83	70	91	6	1	0	-1.000	0.400	1.348	1.513	3.934	0.853	0.326	716	4719	100	-75	0	0	0	14	Error	1	-1	4	10	248716	57398	-0.054	-0.033	17	62	26	109	1405
4	11	22	""	""	3720	16360	150	347	348	55	343	347	343	74	10	1	0	74	81	44	70	79	70	68	10	1	0	1.000	0.455	1.235	1.369	4.254	1.208	0.119	716	4597	100	-75	0	0	8	16	0.000	4	4	5	11	249313	58107	0.014	0.029	15	54	21	86	1406
4	12	22	""	""	3950	16425	150	333	353	200	335	338	335	61	14	3	0	70	99	250	70	80	70	106	4	1	0	100000.000	0.621	1.500	1.379	3.922	0.464	0.337	716	4489	100	-75	0	0	-2	47	16.610	-2	0	18	29	252613	70601	0.246	0.179	56	252	18	132	1407
4	13	22	""	""	4275	16295	150	328	330	51	327	331	327	56	15	2	0	68	74	39	70	79	70	78	5	0	0	-0.500	0.750	1.516	1.463	4.267	0.185	0.038	716	4792	100	-75	0	0	-1	7	Error	1	-2	3	4	236115	53137	-0.018	-0.064	15	52	16	98	1408
4	14	22	""	""	4545	16355	150	322	323	51	322	324	322	55	13	2	0	68	75	41	68	77	68	98	3	0	0	0.000	0.143	1.226	1.247	4.072	13.907	0.001	716	4893	100	-75	0	0	0	8	Error	0	0	1	7	231211	53998	-0.018	-0.020	15	54	16	127	1409
4	15	22	""	""	4815	16355	150	334	335	56	335	339	335	62	11	2	0	64	72	39	73	83	73	57	9	1	0	0.111	0.000	1.250	1.313	4.478	4.980	0.009	716	4961	100	-75	0	0	-10	-1	-3.170	-1	-9	0	-1	239901	51479	-0.065	-0.193	16	54	18	68	1410
4	1	23	""	""	1035	16680	150	350	351	58	364	374	364	140	1	0	0	74	81	45	82	97	82	115	1	0	0	1.750	13.000	1.400	1.355	3.513	1.222	0.349	716	4593	100	-75	0	0	-22	-14	0.807	-14	-8	-13	-1	251058	58015	-0.164	-0.139	16	55	37	118	1411
4	2	23	""	""	1270	16625	150	389	402	109	375	385	375	140	4	1	0	87	102	70	84	100	84	123	6	1	0	4.667	1.500	1.167	1.177	4.425	1.308	0.234	716	4580	100	-75	0	0	17	45	2.222	14	3	27	18	287602	73043	0.121	0.016	27	68	36	123	1412
4	3	23	""	""	1520	16675	150	361	363	60	370	380	370	102	5	0	0	85	100	77	82	101	82	108	7	2	0	-3.000	-0.389	1.188	1.167	4.368	0.831	0.381	716	4480	100	-75	0	0	-6	11	Error	-9	3	-7	18	259702	71734	-0.167	-0.009	16	77	26	106	1413
4	4	23	""	""	1825	16705	150	366	377	84	367	438	367	1192	0	0	0	81	93	78	79	199	79	1867	0	0	0	-0.500	0.714	1.206	1.136	3.797	1.078	0.500	716	4141	100	-75	0	0	1	24	Error	-1	2	10	14	269907	66930	-0.051	-0.057	22	83	272	938	1414
4	5	23	""	""	2065	16670	150	347	415	483	352	404	352	1148	2	1	0	75	170	609	69	165	69	1817	1	1	0	-0.833	0.624	1.286	1.273	4.001	0.796	0.819	716	4312	100	-75	0	0	1	164	Error	-5	6	63	101	297014	121960	0.010	0.003	116	358	284	1101	1415
4	6	23	""	""	2345	16665	150	332	333	54	337	341	337	60	12	1	0	63	73	42	64	72	64	45	19	5	0	5.000	-0.444	1.545	1.479	4.326	14.866	0.002	716	4669	100	-75	0	0	-6	5	2.322	-5	-1	-4	9	238608	52134	-0.133	0.022	16	57	17	62	1416
4	7	23	""	""	2615	16595	150	339	342	56	339	342	339	77	9	1	0	68	75	43	65	75	65	76	7	1	0	0.000	0.300	1.433	1.492	3.869	20.489	0.001	716	4419	100	-75	0	0	3	13	Error	0	3	3	10	245063	53625	0.000	0.000	16	57	22	101	1417
4	8	23	""	""	2920	16610	150	340	340	57	353	362	353	73	6	1	0	64	74	44	69	77	69	45	16	4	0	2.600	-2.600	1.625	1.494	4.608	14.688	0.005	716	4107	100	-75	0	0	-18	-8	1.379	-13	-5	-13	5	243503	52945	-0.301	-0.067	16	59	20	58	1418
4	9	23	""	""	3190	16665	150	350	353	61	352	362	352	79	10	1	0	75	83	50	68	80	68	77	8	2	0	-0.286	0.067	1.486	1.387	4.234	0.424	0.516	716	4400	100	-75	0	0	5	16	Error	-2	7	1	15	252705	59193	-0.114	0.039	17	60	21	96	1419
4	10	23	""	""	3475	16640	150	341	346	62	335	358	335	827	0	0	0	73	84	62	66	114	66	1356	0	0	0	0.857	0.611	1.361	1.294	4.221	0.320	0.103	716	4311	100	-75	0	0	13	29	-0.222	6	7	11	18	247743	60081	-0.015	-0.022	17	73	231	1189	1420
4	11	23	""	""	3715	16640	150	329	333	55	331	353	331	848	0	0	0	67	75	42	65	112	65	1391	0	0	0	-1.000	0.200	1.407	1.454	4.057	35.724	0.000	716	4099	100	-75	0	0	0	12	Error	-2	2	2	10	238739	53360	-0.024	-0.027	16	56	240	1241	1421
4	12	23	""	""	3950	16615	150	318	321	51	322	325	322	57	12	2	0	65	73	42	64	74	64	107	3	0	0	-4.000	-0.111	1.333	1.383	4.064	3.862	0.016	716	3919	100	-75	0	0	-3	8	Error	-4	1	-1	9	229593	52123	-0.070	-0.009	15	57	17	144	1422
4	13	23	""	""	4230	16610	150	306	313	76	310	313	310	55	14	3	0	65	84	357	65	74	65	48	14	3	0	100000.000	0.158	1.192	1.287	4.370	0.164	0.197	716	4893	100	-75	0	0	-4	22	16.610	-4	0	3	19	224211	60228	0.000	0.208	24	425	17	64	1423
4	14	23	""	""	4575	16625	150	317	320	57	313	316	313	55	16	4	0	69	76	43	67	77	67	109	3	0	0	2.000	0.778	1.203	1.202	4.679	0.106	0.044	716	3984	100	-75	0	0	6	16	1.000	4	2	7	9	228897	54720	0.073	-0.009	17	56	17	141	1424
4	15	23	""	""	4750	16610	150	303	455	2697	319	321	319	54	11	4	0	63	300	3166	68	78	68	108	5	3	0	3.200	0.586	1.375	1.272	4.175	0.839	0.838	716	4056	100	-75	0	0	-21	368	1.678	-16	-5	136	232	325580	214887	2.481	2.056	592	1055	16	138	1425
4	1	24	""	""	1030	16905	150	372	376	60	364	369	364	107	7	0	0	82	91	48	82	94	82	111	3	0	0	100000.000	1.333	1.083	1.157	4.350	1.351	0.032	716	4910	100	-75	0	0	8	21	16.610	8	0	12	9	269062	64854	0.065	-0.027	15	52	28	118	1426
4	2	24	""	""	1300	16905	150	376	377	63	371	377	371	79	11	1	0	87	98	99	83	95	83	84	9	1	0	1.250	0.400	1.294	1.242	4.457	0.480	0.173	716	5051	100	-75	0	0	9	21	0.322	5	4	6	15	269810	69843	0.000	0.036	16	101	20	88	1427
4	3	24	""	""	1560	16870	150	375	399	177	361	367	361	81	17	5	0	89	130	197	83	98	83	101	14	6	0	2.333	0.809	1.027	1.139	4.015	0.816	0.413	716	4494	100	-75	0	0	20	85	1.222	14	6	38	47	285591	93277	0.395	0.317	44	151	22	103	1428
4	4	24	""	""	1820	16845	150	357	366	83	357	372	357	127	4	1	0	79	100	95	80	105	80	146	4	2	0	0.000	0.450	1.200	1.245	3.965	0.766	0.452	716	4013	100	-75	0	0	-1	29	Error	0	-1	9	20	262175	71671	-0.047	-0.034	22	95	34	139	1429
4	5	24	""	""	2045	16850	150	349	350	54	346	353	346	82	8	0	0	75	82	46	71	85	71	82	7	1	0	0.750	0.364	1.346	1.280	4.532	0.861	0.325	716	4039	100	-75	0	0	7	15	-0.415	3	4	4	11	250245	58624	-0.037	-0.037	15	56	23	96	1430
4	6	24	""	""	2315	16860	150	344	345	64	336	339	336	60	16	2	0	65	77	61	64	73	64	58	13	4	0	8.000	0.692	1.474	1.407	4.323	1.288	0.085	716	4716	100	-75	0	0	9	22	3.000	8	1	9	13	246708	55432	0.100	0.069	18	79	17	79	1431
4	7	24	""	""	2620	16835	150	343	348	63	332	334	332	54	23	6	0	67	77	56	63	71	63	44	20	7	0	2.750	1.143	1.343	1.192	4.144	3.630	0.021	716	5026	100	-75	0	0	15	30	1.459	11	4	16	14	248946	55392	0.259	0.136	18	72	16	61	1432
4	8	24	""	""	2890	16785	150	332	335	52	343	349	343	69	7	1	0	62	69	38	65	75	65	66	8	0	0	3.667	-2.000	1.571	1.492	4.275	6.427	0.010	716	4451	100	-75	0	0	-14	-4	1.874	-11	-3	-8	4	239532	49572	-0.203	-0.091	15	55	19	88	1433
4	9	24	""	""	3150	16845	150	352	364	85	346	355	346	77	16	7	0	67	73	40	69	81	69	83	4	0	0	-3.000	4.500	1.700	1.629	4.309	0.861	0.120	716	4444	100	-75	0	0	4	22	Error	6	-2	18	4	260732	52575	0.117	-0.096	23	54	21	102	1434
4	10	24	""	""	3415	16840	150	332	335	54	336	359	336	805	0	0	0	64	71	39	69	117	69	1321	0	0	0	0.800	-0.500	1.388	1.448	3.411	2.798	0.042	716	4551	100	-75	0	0	-9	1	-0.322	-4	-5	-1	2	239893	50750	-0.030	-0.035	16	54	224	1129	1435
4	11	24	""	""	3685	16835	150	324	326	64	319	341	319	809	0	0	0	64	72	40	65	109	65	1326	0	0	0	-5.000	1.000	1.343	1.333	3.841	0.550	0.662	716	4506	100	-75	0	0	4	14	Error	5	-1	7	7	233239	51378	-0.019	-0.028	19	55	237	1216	1436
4	12	24	""	""	3955	16835	150	305	307	51	304	307	304	58	13	2	0	61	67	36	61	70	61	44	14	3	0	100000.000	0.500	1.412	1.375	4.673	12.200	0.002	716	4728	100	-75	0	0	1	9	16.610	1	0	3	6	219764	48286	0.000	-0.068	16	53	18	62	1437
4	13	24	""	""	4225	16825	150	306	308	50	299	303	299	58	17	2	0	61	67	36	63	73	63	48	12	2	0	-3.500	2.250	1.315	1.270	3.960	-34972.555	0.000	716	4695	100	-75	0	0	5	13	Error	7	-2	9	4	220855	47791	0.086	-0.125	16	53	19	65	1438
4	14	24	""	""	4495	16825	150	312	318	57	308	314	308	84	9	1	0	64	71	40	66	77	66	116	2	0	0	-2.000	2.000	1.414	1.319	3.886	2.150	0.071	716	4696	100	-75	0	0	2	15	Error	4	-2	10	5	227446	50957	0.048	-0.052	17	56	26	150	1439
4	15	24	""	""	4765	16825	150	316	319	53	317	322	317	78	8	0	0	68	74	40	68	77	68	110	2	0	0	100000.000	0.333	1.444	1.402	4.096	3.959	0.023	716	4728	100	-75	0	0	-1	8	16.610	-1	0	2	6	228048	53309	-0.038	-0.027	16	54	24	142	1440
5	1	1	""	""	8980	10715	145	1273	1556	2152	435	445	435	125	100	99	0	669	889	1720	57	71	57	125	100	99	0	1.369	1.347	1.370	1.389	1.369	1.273	0.950	624	4914	100	0	0	0	1450	1953	0.453	838	612	1121	832	970899	554632	8.888	6.544	138	193	28	176	1441
5	2	1	""	""	9250	10715	150	1222	1358	588	436	455	436	235	95	94	0	688	807	508	55	68	55	180	96	91	0	1.242	1.226	1.257	1.245	1.463	1.214	0.898	716	5217	100	0	0	0	1419	1674	0.312	786	633	922	752	971983	577793	3.843	4.106	43	62	51	264	1442
5	3	1	""	""	9520	10715	145	1289	1401	473	454	472	454	150	100	100	0	691	790	454	53	68	53	266	99	70	0	1.309	1.285	1.310	1.321	1.424	1.135	0.788	624	4847	100	0	0	0	1473	1684	0.388	835	638	947	737	874015	493270	6.193	2.714	33	57	31	391	1443
5	4	1	""	""	9890	10695	100	2711	2608	955	432	454	432	217	93	91	0	1945	1890	902	58	112	58	817	87	63	0	1.208	1.188	1.227	1.204	1.616	0.674	0.490	316	2384	100	0	0	0	4166	4008	0.272	2279	1887	2176	1832	824078	597204	9.926	2.176	36	47	47	729	1444
5	5	1	""	""	10155	10690	95	2756	2834	766	458	474	458	168	100	99	0	1677	1796	703	55	82	55	207	100	98	0	1.417	1.365	1.417	1.396	1.424	1.244	0.719	256	2088	100	0	0	0	3920	4117	0.503	2298	1622	2376	1741	725604	459735	14.048	8.280	27	39	35	252	1445
5	6	1	""	""	10415	10690	100	2921	2720	1152	454	485	454	393	88	83	0	1851	1879	1470	59	100	59	437	86	81	0	1.377	1.245	1.378	1.413	1.835	1.023	0.766	316	2384	100	0	0	0	4259	4086	0.461	2467	1792	2266	1820	859448	593754	5.687	4.071	42	78	81	437	1446
5	7	1	""	""	10690	10705	115	1698	1710	425	438	443	438	69	99	99	0	853	917	446	56	63	56	36	99	99	0	1.581	1.477	1.563	1.565	1.598	1.425	0.711	392	3108	100	0	0	0	2057	2133	0.661	1260	797	1272	861	670247	359409	18.362	23.722	24	48	15	57	1447
5	8	1	""	""	10960	10710	115	1690	1695	447	414	418	414	69	98	97	0	861	1010	1969	58	67	58	59	98	96	0	1.589	1.346	1.576	1.550	1.692	0.218	0.102	392	3108	100	0	0	0	2079	2233	0.668	1276	803	1281	952	664474	395925	18.507	15.983	26	194	16	88	1448
5	9	1	""	""	11230	10705	115	1648	1637	480	396	405	396	118	98	96	0	893	1016	1014	60	72	60	132	95	93	0	1.503	1.298	1.503	1.459	1.765	0.867	0.393	392	2988	100	0	0	0	2085	2197	0.588	1252	833	1241	956	641621	398145	10.441	7.152	29	99	29	183	1449
5	10	1	""	""	11455	10710	165	1728	1768	419	378	392	378	155	100	100	0	822	908	461	61	73	61	111	100	100	0	1.774	1.641	1.749	1.726	1.486	1.585	0.590	812	5056	100	0	0	0	2111	2237	0.827	1350	761	1390	847	1435360	736977	8.877	7.523	23	50	39	152	1450
5	11	1	""	""	11730	10710	155	1941	1973	264	362	368	362	70	100	100	0	804	886	596	59	67	59	67	100	100	0	2.119	1.948	2.115	2.103	1.463	1.726	0.576	716	4964	100	0	0	0	2324	2438	1.084	1579	745	1611	827	1412341	634423	22.929	12.224	13	67	19	100	1451
5	12	1	""	""	11990	10705	150	2017	2027	387	405	434	405	163	100	99	0	803	862	404	56	65	56	57	100	100	0	2.158	2.012	2.153	2.105	1.474	1.988	0.730	716	5116	100	0	0	0	2359	2428	1.110	1612	747	1622	806	1451592	617035	9.773	13.982	19	46	37	87	1452
5	13	1	""	""	12280	10735	100	1395	1927	1649	519	944	519	852	53	16	0	530	1128	1660	71	128	71	418	55	27	0	1.908	1.332	1.812	1.823	1.809	0.952	0.695	316	2384	100	0	0	0	1335	2465	0.932	876	459	1408	1057	609052	356345	1.154	2.392	85	147	90	326	1453
5	14	1	""	""	12545	10730	105	1308	1638	1360	496	899	496	821	47	10	0	499	962	1760	73	116	73	251	84	39	0	1.906	1.285	1.861	1.804	1.952	0.902	0.595	316	2572	100	0	0	0	1238	2031	0.931	812	426	1142	889	517553	304106	0.900	3.371	83	182	91	216	1454
5	15	1	""	""	12805	10730	100	1197	1496	1269	462	770	462	726	52	12	0	392	837	1384	59	94	59	251	67	31	0	2.207	1.329	2.111	2.007	2.001	0.993	0.770	316	2384	100	0	0	0	1068	1812	1.142	735	333	1034	778	472793	264510	1.000	2.960	84	165	94	267	1455
5	1	2	""	""	9065	10980	105	3773	3821	1236	456	483	456	420	100	99	0	1861	2068	1229	61	81	61	187	100	100	0	1.843	1.677	1.791	1.745	1.486	1.600	0.720	316	2572	100	0	0	0	5117	5372	0.882	3317	1800	3365	2007	1207587	653389	7.948	10.626	32	59	86	230	1456
5	2	2	""	""	9320	10985	115	3230	3036	1229	470	483	470	106	99	97	0	1453	1478	1092	61	71	61	63	99	98	0	1.983	1.811	1.938	1.890	1.618	1.712	0.634	392	3108	100	0	0	0	4152	3983	0.988	2760	1392	2566	1417	1190114	579275	24.085	22.333	40	73	21	88	1457
5	3	2	""	""	9575	10970	120	3022	2983	3285	491	514	491	159	93	88	0	1377	1599	3246	59	75	59	271	85	74	0	1.920	1.618	1.847	1.762	1.757	1.152	0.620	460	3460	100	0	0	0	3849	4032	0.941	2531	1318	2492	1540	1372397	735429	15.528	5.624	110	203	30	361	1458
5	4	2	""	""	9870	10975	150	3838	3860	698	460	466	460	198	100	100	0	1208	1361	1300	57	69	57	98	100	100	0	2.935	2.607	2.918	2.830	1.471	2.281	0.419	716	5288	100	0	0	0	4529	4704	1.553	3378	1151	3400	1304	2763529	974131	17.141	13.184	18	95	42	142	1459
5	5	2	""	""	10145	10975	145	3759	3814	450	445	450	445	75	100	100	0	1131	1210	449	58	69	58	54	100	100	0	3.089	2.924	3.108	3.052	1.364	2.893	0.773	624	4771	100	0	0	0	4387	4521	1.627	3314	1073	3369	1152	2380110	754915	44.853	21.130	11	37	16	78	1460
5	6	2	""	""	10420	10975	150	3680	3655	661	435	448	435	228	99	99	0	1113	1154	418	59	74	59	167	98	97	0	3.079	2.941	3.069	3.062	1.494	2.963	0.843	716	5059	100	0	0	0	4299	4315	1.622	3245	1054	3220	1095	2616938	826290	14.066	6.467	18	36	50	225	1461
5	7	2	""	""	10665	10980	125	1010	1104	587	421	493	421	380	87	23	0	287	383	516	61	73	61	66	93	79	0	2.606	2.121	2.551	2.741	1.904	1.512	0.769	460	3632	100	0	0	0	815	1005	1.382	589	226	683	322	507794	176331	1.608	4.697	53	134	77	90	1462
5	8	2	""	""	10940	10985	125	962	1090	603	396	490	396	439	77	14	0	274	445	636	59	74	59	84	90	66	0	2.633	1.798	2.590	2.544	1.984	1.350	0.640	460	3704	100	0	0	0	781	1080	1.396	566	215	694	386	501474	204483	1.367	4.417	55	142	89	113	1463
5	9	2	""	""	11205	10980	120	906	1698	3529	373	444	373	366	83	27	0	290	1059	3165	60	73	60	86	90	68	0	2.317	1.326	2.226	2.334	2.040	1.148	0.806	460	3460	100	0	0	0	763	2324	1.213	533	230	1325	999	781040	487086	3.426	11.465	207	298	82	117	1464
5	10	2	""	""	11475	10970	135	647	739	368	359	367	359	133	76	54	0	222	311	317	62	71	62	75	72	53	0	1.800	1.526	1.717	1.759	2.560	1.607	0.429	540	4228	100	0	0	0	448	629	0.848	288	160	380	249	399115	167866	2.797	3.200	49	101	36	105	1465
5	11	2	""	""	11760	10970	140	584	656	357	351	372	351	472	18	2	0	169	244	290	59	72	59	208	27	8	0	2.118	1.649	1.933	2.009	2.671	2.225	0.807	624	4515	100	0	0	0	343	490	1.083	233	110	305	185	409436	152259	0.602	0.827	54	118	126	288	1466
5	12	2	""	""	12020	10965	140	623	695	318	421	843	421	900	4	1	0	147	264	472	67	92	67	131	36	18	0	2.525	1.391	1.918	1.991	3.058	8.739	0.054	624	4291	100	0	0	0	282	471	1.336	202	80	274	197	433555	164993	-0.164	1.313	45	178	106	142	1467
5	13	2	""	""	12265	10975	160	2940	3066	746	1907	1893	1907	996	53	10	0	1433	1472	567	144	165	144	128	100	100	0	0.801	0.873	0.826	0.780	1.634	1.152	0.237	812	4949	100	0	0	0	2322	2487	-0.319	1033	1289	1159	1328	2489413	1195217	1.178	10.211	24	38	52	77	1468
5	14	2	""	""	12535	10975	165	2029	2195	1518	2295	2040	2295	820	5	1	0	1134	1352	1777	176	193	176	130	100	99	0	-0.278	-0.085	0.222	0.186	2.624	0.796	0.468	812	5065	100	0	0	0	692	1076	Error	-266	958	-100	1176	1782588	1098060	0.189	8.915	69	131	40	67	1469
5	15	2	""	""	12805	10975	150	1906	1972	505	1598	1660	1598	1008	8	1	0	1027	1072	377	133	165	133	163	100	97	0	0.345	0.398	0.410	0.346	2.405	-4.018	0.016	716	5153	100	0	0	0	1202	1313	-1.537	308	894	374	939	1411681	767275	0.310	5.564	25	35	60	98	1470
5	1	3	""	""	9040	11250	160	1603	1567	355	455	466	455	108	100	100	0	424	442	224	57	70	57	69	99	94	0	3.128	2.888	3.006	3.099	1.539	2.900	0.693	812	5261	100	0	0	0	1515	1497	1.645	1148	367	1112	385	1272772	359140	10.194	5.391	22	50	23	98	1471
