ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2014/03/28 12:10:34"
"Settings=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_setting.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=532	635"
"ImageFiles=C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 2	C:\Documents and Settings\MahalLab3\Desktop\LZY\miR200 treated\20140327_2_.tif 3"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=715, 1395"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4300 [122871]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=425	570"
"ScanPower=70	90"
"LaserPower=2.11	1.69"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,4400,14400"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"F532 CV"	"F635 CV"	"B532 CV"	"B635 CV"	"Index"
1	14	1	""	""	4535	1735	110	1340	1517	1177	615	878	615	791	44	9	0	1667	2323	3061	365	487	365	1260	54	17	0	0.557	0.461	0.547	0.531	1.657	0.357	0.756	392	2896	100	0	0	0	2027	2860	-0.845	725	1302	902	1958	594859	910677	0.808	1.457	77	131	90	258	14
1	15	1	""	""	4795	1735	110	1305	1478	974	593	802	593	510	76	19	0	1582	2344	3374	356	428	356	526	83	62	0	0.581	0.445	0.540	0.544	2.163	0.271	0.675	392	2888	100	0	0	0	1938	2873	-0.784	712	1226	885	1988	579212	918717	1.325	3.643	65	143	63	122	15
1	1	2	""	""	1035	1985	130	2381	2390	1176	459	474	459	158	99	95	0	2868	2936	1955	122	149	122	241	99	96	0	0.700	0.686	0.715	0.690	1.578	0.629	0.786	540	4043	100	0	0	0	4668	4745	-0.515	1922	2746	1931	2814	1290402	1585341	12.127	11.564	49	66	33	161	16
1	2	2	""	""	1300	1985	125	2564	2616	1172	436	443	436	109	100	100	0	2981	3128	1707	110	129	110	270	100	99	0	0.741	0.722	0.731	0.724	1.545	0.687	0.817	460	3696	100	0	0	0	4999	5198	-0.432	2128	2871	2180	3018	1203154	1438855	19.936	11.107	44	54	24	209	17
1	3	2	""	""	1570	1985	125	2231	2382	1146	427	438	427	120	100	99	0	2693	2857	1816	105	125	105	291	100	95	0	0.697	0.710	0.752	0.722	1.649	0.637	0.727	460	3696	100	0	0	0	4392	4707	-0.521	1804	2588	1955	2752	1095528	1314261	16.200	9.388	48	63	27	232	18
1	4	2	""	""	1855	1985	150	3944	3901	836	437	444	437	101	100	100	0	3462	3535	1160	104	120	104	177	100	99	0	1.044	1.010	1.048	1.023	1.373	0.976	0.884	716	5122	100	0	0	0	6865	6895	0.063	3507	3358	3464	3431	2792828	2531093	34.228	19.294	21	32	22	147	19
1	5	2	""	""	2125	1980	150	4204	4196	792	449	454	449	78	100	100	0	3689	3803	1147	105	118	105	95	100	100	0	1.048	1.013	1.043	1.026	1.291	0.982	0.909	716	4994	100	0	0	0	7339	7445	0.067	3755	3584	3747	3698	3004199	2722625	47.974	38.789	18	30	17	80	20
1	6	2	""	""	2390	1980	150	4327	4115	1136	454	460	454	108	96	95	0	3656	3613	1261	101	116	101	180	96	95	0	1.089	1.042	1.078	1.031	1.446	1.026	0.912	716	4983	100	0	0	0	7428	7173	0.124	3873	3555	3661	3512	2946276	2586762	33.843	19.428	27	34	23	155	21
1	7	2	""	""	2650	1980	130	945	1082	670	445	496	445	279	88	41	0	717	1078	1664	101	119	101	200	95	76	0	0.812	0.652	0.830	0.802	1.702	0.449	0.823	540	4002	100	0	0	0	1116	1614	-0.301	500	616	637	977	584280	581912	2.100	4.795	61	154	56	168	22
1	8	2	""	""	2925	1985	130	906	1049	796	419	479	419	306	83	31	0	685	1022	1849	96	112	96	88	99	95	0	0.827	0.680	0.840	0.826	1.745	0.460	0.861	540	4056	100	0	0	0	1076	1556	-0.274	487	589	630	926	566557	552102	1.863	10.341	75	180	63	78	23
1	9	2	""	""	3190	1985	130	885	990	631	401	682	401	2813	2	0	0	703	968	1302	103	418	103	3347	4	1	0	0.807	0.681	0.813	0.782	1.654	0.492	0.765	540	4068	100	0	0	0	1084	1454	-0.310	484	600	589	865	534371	522695	0.109	0.164	63	134	412	800	24
1	10	2	""	""	3470	1970	115	837	1262	2568	396	793	396	3486	2	1	0	936	1537	2960	148	833	148	4960	3	1	0	0.560	0.623	0.584	0.590	1.878	0.591	0.899	392	3108	100	0	0	0	1229	2255	-0.837	441	788	866	1389	494864	602339	0.135	0.142	203	192	439	595	25
1	11	2	""	""	3735	1975	120	1316	2418	5432	402	735	402	2541	11	6	0	1669	4428	10198	182	814	182	4454	14	8	1	0.615	0.475	0.608	0.575	1.606	0.441	0.729	460	3460	100	0	0	0	2401	6262	-0.702	914	1487	2016	4246	1112227	2037081	0.662	0.811	224	230	345	547	26
1	12	2	""	""	4010	1960	130	855	1030	790	435	692	435	1340	11	2	0	930	1261	1405	209	410	209	1843	14	5	0	0.583	0.566	0.608	0.597	2.124	0.423	0.667	540	3846	100	0	0	0	1141	1647	-0.780	420	721	595	1052	556219	681175	0.252	0.462	76	111	193	449	27
1	13	2	""	""	4255	1975	160	2957	3055	645	1152	1235	1152	1325	92	10	0	5466	5696	1414	333	543	333	2344	99	67	0	0.352	0.355	0.354	0.347	1.279	0.314	0.814	812	5018	100	0	0	0	6938	7266	-1.508	1805	5133	1903	5363	2480408	4625139	1.374	2.198	21	24	107	431	28
1	14	2	""	""	4525	1985	150	4285	4363	919	1613	1581	1613	1248	97	66	0	8377	8572	2467	452	604	452	2094	98	97	0	0.337	0.339	0.335	0.333	1.253	0.376	0.794	716	4950	100	0	0	0	10597	10870	-1.568	2672	7925	2750	8120	3123768	6137744	2.229	3.805	21	28	78	346	29
1	15	2	""	""	4795	1980	155	5488	5609	1040	1270	1328	1270	696	100	99	0	10894	11263	2442	436	477	436	385	100	100	0	0.403	0.401	0.399	0.399	1.153	0.358	0.919	716	5140	100	0	0	0	14676	15166	-1.310	4218	10458	4339	10827	4015811	8063961	6.151	28.016	18	21	52	80	30
1	1	3	""	""	1025	2250	155	1503	1482	319	482	488	482	88	100	99	0	1077	1107	480	121	133	121	102	100	100	0	1.068	1.014	1.056	1.045	1.374	0.928	0.857	716	5122	100	0	0	0	1977	1986	0.095	1021	956	1000	986	1060872	792394	11.295	9.549	21	43	18	76	31
1	2	3	""	""	1305	2250	155	1753	1755	232	480	484	480	96	100	100	0	1390	1393	319	118	133	118	242	100	100	0	1.001	1.000	1.002	1.012	1.248	0.972	0.909	716	4998	100	0	0	0	2545	2550	0.001	1273	1272	1275	1275	1256446	997315	13.240	5.207	13	22	19	181	32
1	3	3	""	""	1570	2250	150	1760	1691	385	474	478	474	88	100	99	0	1399	1362	478	113	128	113	222	100	96	0	1.000	0.974	0.990	1.005	1.279	0.931	0.917	716	4923	100	0	0	0	2572	2466	0.000	1286	1286	1217	1249	1210896	975458	13.784	5.559	22	35	18	173	33
